,Institution,Program(Season),Decision & Date,St1,Date Added,Notes
0,Technical University Of Munich (TUM),"Informatics, Masters (F21)",Accepted via E-mail on 17 Mar 2021 Undergrad GPA: 3.26GRE General (V/Q/W): 0/0/0.00GRE Subject: n/a♦,I,17 Mar 2021,Applied on 05.02.2021 and got admission 17.03.2021 with the result of 84/100. I have one conference paper. The essay was about AI. English as the language of instruction.
1,Technical University Of Munich (TUM),"Applied And Engineering Physics, Masters (F21)",Accepted via E-mail on 16 Feb 2021 ,,20 Feb 2021,Got 85/100 in the first stage of aptitude assessment.
2,Technical University Of Munich (TUM),"Applied And Engineering Physics, Masters (S21)",Accepted via E-mail on 18 Feb 2021 Undergrad GPA: n/aGRE General (V/Q/W): 170/159/3.00GRE Subject: n/a♦,I,18 Feb 2021,"Converted GPA 1.2/6.0; Missing 16 ECTs which the lectures are offered only in German, hence will probably not accepting the offer."
3,Technical University Of Munich (TUM),"Applied And Engineering Physics, Masters (S21)",Other via Other on 4 Feb 2021 ,I,5 Feb 2021,TTPB: No I don't have any stipend and I didn't contact anyone before/during the application process. Anyone who passes the aptitude test will be admitted because the program is not restricted (NC).
4,Technical University Of Munich (TUM),"Applied Physics, Masters (F20)",Other via Other on 4 Feb 2021 ,I,4 Feb 2021,TTPB: do you have stipend for that programs? and with whom did you contact before applying? Is there still vacancy for that post?
5,Technical University Of Munich (TUM),"Applied And Engineering Physics, Masters (S21)",Accepted via Website on 4 Feb 2021 ,I,4 Feb 2021,Result: 76/100. Direct admission is at 80/100 and above but I've already got my letter of admission.
6,Technical University Of Munich (TUM),"Mathematics Of Operations Research, Masters (S21)",Rejected via E-mail on 1 Feb 2021 ,I,2 Feb 2021,
7,Technical University Of Munich (TUM),"Data Engineering And Analytics, Masters (F20), Masters (F20)",Other via Other on 2 Sep 2020 ,I,2 Sep 2020,"Has anyone received any notification about the results regarding the MSc Data Engineering And Analytics. I applied around 30th of June but i am still waiting their answer. I asked them via email last week and they replied me the following ""the deadline was extended and now we are in the process to sent all the results, but this can take some more time"". Is anyone else in the same situation? (regardless of which master he applied)"
8,Technical University Of Munich (TUM),"Civil Engineering, Masters (F20)",Accepted via Website on 8 Aug 2020 ,I,8 Aug 2020,80/100 direct admission.
9,Technical University Of Munich (TUM),"Communication Engineering, Masters (F20)",Accepted via E-mail on 3 Aug 2020 Undergrad GPA: 3.87GRE General (V/Q/W): 0/0/0.00GRE Subject: n/a♦,,3 Aug 2020,Very excited.
10,Technical University Of Munich (TUM),"Communication Engineering, Masters (F20)",Accepted via E-mail on 3 Aug 2020 ,,3 Aug 2020,"Students who have gotten admission for winter semester 2020/21 for TUM, please click the link below to join the TUM-2020 group in Whats app for further discussion. rnrnhttps://chat.whatsapp.com/FsLaaTzuyxQ2ya9tPR8XiX"
11,Technical University Of Munich (TUM),"Communication Engineering, Masters (F20)",Accepted via E-mail on 3 Aug 2020 Undergrad GPA: 3.87GRE General (V/Q/W): 0/0/0.00GRE Subject: n/a♦,,3 Aug 2020,"Students who have gotten admission for winter semester 2020/21 for TUM, please click the link below to join the TUM-2020 group in Whats app for further discussion. 

https://chat.whatsapp.com/FsLaaTzuyxQ2ya9tPR8XiX"
12,Technical University Of Munich (TUM),"Communication Engineering, Masters (F20)",Accepted via E-mail on 3 Aug 2020 Undergrad GPA: 3.87GRE General (V/Q/W): 0/0/0.00GRE Subject: n/a♦,,3 Aug 2020,"Students who have gotten admission for winter semester 2020/21 for TUM, please click the link below to join the TUM-2020 group in Whats app for further discussion.
 
https://chat.whatsapp.com/FsLaaTzuyxQ2ya9tPR8XiX"
13,Technical University Of Munich (TUM),"Informatics, Masters (F20)",Other via Other on 13 Jun 2020 ,I,13 Jun 2020,TTPB: when did you apply?
14,Technical University Of Munich (TUM),"Informatics, Masters (F20)",Accepted via E-mail on 12 Jun 2020 ,I,13 Jun 2020,"Best grades in my class, I would say average SOP and Essay. Direct admission 90/100."
15,Technical University Of Munich (TUM),"Informatics, Masters (F20)",Rejected via Other on 9 Jun 2020 Undergrad GPA: 3.21GRE General (V/Q/W): 0/0/0.00GRE Subject: n/a♦,I,9 Jun 2020,"My academic background does not fit, weird. I have other colleagues from previous years who got accepted."
16,Technical University Of Munich (TUM),"Informatics, Masters (F20)",Accepted via E-mail on 29 May 2020 ,I,30 May 2020,"direct admission with 78/100, applied on early April"
17,Technical University Of Munich (TUM),"Data Engineering And Analytics, Masters (F20)",Accepted via E-mail on 29 May 2020 ,I,30 May 2020,"direct admission with 83/100, applied on mid March"
